Date, Open, High, Low, Close
09/07/22, 601.95, 595.00, 595.00, 595.00
09/06/22, 608.54, 601.95, 601.95, 601.95
09/02/22, 597.72, 608.54, 608.54, 608.54
09/01/22, 611.80, 597.72, 597.72, 597.72
08/31/22, 617.60, 611.80, 611.80, 611.80
08/30/22, 639.10, 617.60, 617.60, 617.60
08/29/22, 629.38, 639.10, 639.10, 639.10
08/26/22, 636.19, 629.38, 629.38, 629.38
08/25/22, 631.38, 636.19, 636.19, 636.19
08/24/22, 623.90, 631.38, 631.38, 631.38
08/23/22, 602.10, 623.90, 623.90, 623.90
08/22/22, 603.60, 602.10, 602.10, 602.10
08/19/22, 603.46, 603.60, 603.60, 603.60
08/18/22, 588.58, 603.46, 603.46, 603.46
08/17/22, 583.87, 588.58, 588.58, 588.58
08/16/22, 585.86, 583.87, 583.87, 583.87
08/15/22, 597.70, 585.86, 585.86, 585.86
08/12/22, 592.94, 597.70, 597.70, 597.70
08/11/22, 574.62, 592.94, 592.94, 592.94
08/10/22, 570.57, 574.62, 574.62, 574.62
08/09/22, 560.62, 570.57, 570.57, 570.57
08/08/22, 557.88, 560.62, 560.62, 560.62
08/05/22, 546.73, 557.88, 557.88, 557.88
08/04/22, 567.12, 546.73, 546.73, 546.73
08/03/22, 584.46, 567.12, 567.12, 567.12
08/02/22, 585.67, 584.46, 584.46, 584.46
08/01/22, 598.74, 585.67, 585.67, 585.67
07/29/22, 572.88, 598.74, 598.74, 598.74
07/28/22, 570.32, 572.88, 572.88, 572.88
07/27/22, 558.02, 570.32, 570.32, 570.32
07/26/22, 562.96, 558.02, 558.02, 558.02
07/25/22, 542.80, 562.96, 562.96, 562.96
07/22/22, 547.63, 542.80, 542.80, 542.80
07/21/22, 557.06, 547.63, 547.63, 547.63
07/20/22, 551.46, 557.06, 557.06, 557.06
07/19/22, 534.56, 551.46, 551.46, 551.46
07/18/22, 524.27, 534.56, 534.56, 534.56
07/15/22, 514.50, 524.27, 524.27, 524.27
07/14/22, 524.46, 514.50, 514.50, 514.50
07/13/22, 525.18, 524.46, 524.46, 524.46
07/12/22, 536.07, 525.18, 525.18, 525.18
07/11/22, 540.87, 536.07, 536.07, 536.07
07/08/22, 540.94, 540.87, 540.87, 540.87
